c_number	Ko_ID	KEGG_pathway_def	Compound_def
C00360	ko01100	Metabolic pathways	dAMP; 2'-Deoxyadenosine 5'-phosphate; 2'-Deoxyadenosine 5'-monophosphate; Deoxyadenylic acid; Deoxya
C00361	ko01100	Metabolic pathways	dGDP; 2'-Deoxyguanosine 5'-diphosphate
C00362	ko01100	Metabolic pathways	dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyg
C00363	ko01100	Metabolic pathways	dTDP; Deoxythymidine 5'-diphosphate
C00364	ko01100	Metabolic pathways	dTMP; Thymidine 5'-phosphate; Deoxythymidine 5'-phosphate; Thymidylic acid; 5'-Thymidylic acid; Thym
C00365	ko01100	Metabolic pathways	dUMP; Deoxyuridylic acid; Deoxyuridine monophosphate; Deoxyuridine 5'-phosphate; 2'-Deoxyuridine 5'-
C00366	ko01100	Metabolic pathways	Urate; Uric acid
C00369	ko01100	Metabolic pathways	Starch; Glycogen
C00371	ko01100	Metabolic pathways	Zeatin; N6-(4-Hydroxyisopentenyl)adenine; (E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol; trans-Ze
C00372	ko01100	Metabolic pathways	Dextran; 1,6-alpha-D-Glucan; (1,6-alpha-D-Glucosyl)n; (1,6-alpha-D-Glucosyl)n+1; (1,6-alpha-D-Glucos
C00376	ko01100	Metabolic pathways	Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Re
C00378	ko01100	Metabolic pathways	Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor
C00379	ko01100	Metabolic pathways	Xylitol
C00380	ko01100	Metabolic pathways	Cytosine
C00381	ko01100	Metabolic pathways	Dolichol; ditrans,polycis-Dolichol
C00383	ko01100	Metabolic pathways	Malonate; Malonic acid; Propanedioic acid
C00385	ko01100	Metabolic pathways	Xanthine
C00386	ko01100	Metabolic pathways	Carnosine; Nalpha-(beta-alanyl)-L-histidine
C00387	ko01100	Metabolic pathways	Guanosine
C00388	ko01100	Metabolic pathways	Histamine; 1H-Imidazole-4-ethanamine; 2-(4-Imidazolyl)ethylamine
C00389	ko01100	Metabolic pathways	Quercetin; 3,3',4,5,7-Pentahydroxyflavone; 3,5,7,3',4'-Pentahydroxyflavone
C00390	ko01100	Metabolic pathways	Ubiquinol; QH2; CoQH2; Ubiquinol-n
C00392	ko01100	Metabolic pathways	Mannitol; D-Mannitol
C00394	ko01100	Metabolic pathways	GDP-glucose; GDP-D-glucose; GDP-alpha-D-glucose
C00395	ko01100	Metabolic pathways	Penicillin; Penam
C00398	ko01100	Metabolic pathways	Tryptamine; 3-(2-Aminoethyl)indole
C00399	ko01100	Metabolic pathways	Ubiquinone; Coenzyme Q; CoQ; Q
C00401	ko01100	Metabolic pathways	Chondroitin; Chondroitin-D-glucuronate
C00402	ko01100	Metabolic pathways	D-Aspartate; D-Aspartic acid
C00406	ko01100	Metabolic pathways	Feruloyl-CoA; trans-Feruloyl-CoA; 4-Hydroxy-3-methoxycinnamoyl-CoA; (E)-3-(4-Hydroxy-3-methoxyphenyl
C00407	ko01100	Metabolic pathways	L-Isoleucine; 2-Amino-3-methylvaleric acid
C00408	ko01100	Metabolic pathways	L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid; (S)-Piperidine-2-carbox
C00409	ko01100	Metabolic pathways	Methanethiol; Methylmercaptan
C00410	ko01100	Metabolic pathways	Progesterone; 4-Pregnene-3,20-dione
C00411	ko01100	Metabolic pathways	Sinapoyl-CoA
C00413	ko01100	Metabolic pathways	Streptomycin
C00415	ko01100	Metabolic pathways	Dihydrofolate; Dihydrofolic acid; 7,8-Dihydrofolate; 7,8-Dihydrofolic acid; 7,8-Dihydropteroylglutam
C00416	ko01100	Metabolic pathways	Phosphatidate; Phosphatidic acid; 1,2-Diacyl-sn-glycerol 3-phosphate; 3-sn-Phosphatidate
C00417	ko01100	Metabolic pathways	cis-Aconitate; cis-Aconitic acid
C00418	ko01100	Metabolic pathways	(R)-Mevalonate; Mevalonic acid; 3,5-Dihydroxy-3-methylvaleric acid; (3R)-3,5-Dihydroxy-3-methylpenta
C00422	ko01100	Metabolic pathways	Triacylglycerol; Triglyceride
C00423	ko01100	Metabolic pathways	trans-Cinnamate; trans-Cinnamic acid; (E)-Cinnamate; (2E)-3-Phenylprop-2-enoate
C00424	ko01100	Metabolic pathways	(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde
C00426	ko01100	Metabolic pathways	Dermatan sulfate
C00427	ko01100	Metabolic pathways	Prostaglandin H2; (5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate; (5Z,13E,15S
C00429	ko01100	Metabolic pathways	5,6-Dihydrouracil; Dihydro-2,4(1H,3H)-pyrimidinedione; Dihydrouracile; Dihydrouracil; 5,6-Dihydro-2,
C00430	ko01100	Metabolic pathways	5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid; 5-Amino-4-oxopentanoic acid
C00431	ko01100	Metabolic pathways	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid
C00433	ko01100	Metabolic pathways	2,5-Dioxopentanoate; 2-Oxoglutarate semialdehyde
C00436	ko01100	Metabolic pathways	N-Carbamoylputrescine
C00437	ko01100	Metabolic pathways	N-Acetylornithine; N2-Acetyl-L-ornithine
C00438	ko01100	Metabolic pathways	N-Carbamoyl-L-aspartate
C00439	ko01100	Metabolic pathways	N-Formimino-L-glutamate; N-Formimidoyl-L-glutamate
C00440	ko01100	Metabolic pathways	5-Methyltetrahydrofolate
C00441	ko01100	Metabolic pathways	L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde
C00445	ko01100	Metabolic pathways	5,10-Methenyltetrahydrofolate
C00446	ko01100	Metabolic pathways	alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate
C00447	ko01100	Metabolic pathways	Sedoheptulose 1,7-bisphosphate; D-Sedoheptulose 1,7-bisphosphate; D-altro-Heptulose 1,7-biphosphate
C00448	ko01100	Metabolic pathways	trans,trans-Farnesyl diphosphate; Farnesyl diphosphate; Farnesyl pyrophosphate; 2-trans,6-trans-Farn
C00449	ko01100	Metabolic pathways	N6-(L-1,3-Dicarboxypropyl)-L-lysine; Saccharopine; L-Saccharopine; N-[(S)-5-Amino-5-carboxypentyl]-L
C00450	ko01100	Metabolic pathways	(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate; Delta1-Piperideine-6-L-carboxylate
C00455	ko01100	Metabolic pathways	Nicotinamide D-ribonucleotide; NMN; Nicotinamide mononucleotide; Nicotinamide ribonucleotide; Nicoti
C00458	ko01100	Metabolic pathways	dCTP; Deoxycytidine 5'-triphosphate; Deoxycytidine triphosphate; 2'-Deoxycytidine 5'-triphosphate
C00459	ko01100	Metabolic pathways	dTTP; Deoxythymidine triphosphate; Deoxythymidine 5'-triphosphate; TTP
C00460	ko01100	Metabolic pathways	dUTP; 2'-Deoxyuridine 5'-triphosphate
C00461	ko01100	Metabolic pathways	Chitin; beta-1,4-Poly-N-acetyl-D-glucosamine; [1,4-(N-Acetyl-beta-D-glucosaminyl)]n; [1,4-(N-Acetyl-
C00463	ko01100	Metabolic pathways	Indole; 2,3-Benzopyrrole
C00464	ko01100	Metabolic pathways	Mannan; Mannoglycan
C00468	ko01100	Metabolic pathways	Estrone; 3-Hydroxy-1,3,5(10)-estratrien-17-one
C00469	ko01100	Metabolic pathways	Ethanol; Ethyl alcohol; Methylcarbinol
C00470	ko01100	Metabolic pathways	Pectate; Pectic acid; alpha-D-Polygalacturonic acid; Poly(1,4-alpha-D-galacturonate); Poly(1,4-alpha
C00473	ko01100	Metabolic pathways	Retinol; all-trans-Retinol; Vitamin A; Vitamin A1
C00474	ko01100	Metabolic pathways	Ribitol; Adonitol
C00475	ko01100	Metabolic pathways	Cytidine
C00479	ko01100	Metabolic pathways	Propanal; Propionaldehyde
C00482	ko01100	Metabolic pathways	Sinapate; Sinapic acid; 3,5-Dimethoxy-4-hydroxycinnamic acid
C00483	ko01100	Metabolic pathways	Tyramine; 2-(p-Hydroxyphenyl)ethylamine
C00486	ko01100	Metabolic pathways	Bilirubin
C00487	ko01100	Metabolic pathways	Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate
C00488	ko01100	Metabolic pathways	Formamide; Methanamide
C00489	ko01100	Metabolic pathways	Glutarate; Glutaric acid; Pentanedioic acid; 1,3-Propanedicarboxylic acid
C00490	ko01100	Metabolic pathways	Itaconate; Itaconic acid; Methylenesuccinic acid
C00491	ko01100	Metabolic pathways	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid
C00492	ko01100	Metabolic pathways	Raffinose; Melitose; Melitriose; Gossypose; 6G-alpha-D-galactosylsucrose
C00493	ko01100	Metabolic pathways	Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid
C00497	ko01100	Metabolic pathways	(R)-Malate; D-Malate; D-Malic acid
C00498	ko01100	Metabolic pathways	ADP-glucose; ADP-alpha-D-glucose; Adenosine diphosphoglucose
C00499	ko01100	Metabolic pathways	Allantoate; Allantoic acid
C00500	ko01100	Metabolic pathways	Biliverdin; Biliverdin IX alpha
C00501	ko01100	Metabolic pathways	CDP-glucose; CDP-D-Glucose
C00502	ko01100	Metabolic pathways	D-Xylonate
C00504	ko01100	Metabolic pathways	Folate; Pteroylglutamic acid; Folic acid
C00506	ko01100	Metabolic pathways	L-Cysteate; L-Cysteic acid; 3-Sulfoalanine; 2-Amino-3-sulfopropionic acid
C00507	ko01100	Metabolic pathways	L-Rhamnose; 6-Deoxy-L-mannose; L-Mannomethylose; L-Rhamnopyranose
C00508	ko01100	Metabolic pathways	L-Ribulose; L-erythro-Pentulose; L-Arabinoketose; L-Arabinulose; L-Riboketose
C00509	ko01100	Metabolic pathways	Naringenin; 4',5,7-Trihydroxyflavanone; (2S)-Naringenin; (-)-(2S)-Naringenin
C00511	ko01100	Metabolic pathways	Acrylic acid; Propenoate; Acrylate; 2-Propenoic acid; Vinylformic acid
C00512	ko01100	Metabolic pathways	Benzoyl-CoA; S-Benzoyl-coenzyme A
C00514	ko01100	Metabolic pathways	D-Mannonate
C00515	ko01100	Metabolic pathways	D-Ornithine
C00519	ko01100	Metabolic pathways	Hypotaurine; 2-Aminoethanesulfinic acid
C00521	ko01100	Metabolic pathways	(S)-Limonene; (-)-Limonene; (4S)-1-Methyl-4-(prop-1-en-2-yl)cyclohexene; (-)-(S)-Limonene; (-)-(4S)-
C00522	ko01100	Metabolic pathways	(R)-Pantoate; Pantoate; Pantoic acid
C00523	ko01100	Metabolic pathways	Androsterone; 3alpha-Hydroxy-5alpha-androstan-17-one
C00524	ko01100	Metabolic pathways	Cytochrome c; Holocytochrome c
C00526	ko01100	Metabolic pathways	Deoxyuridine; 2-Deoxyuridine; 2'-Deoxyuridine
C00527	ko01100	Metabolic pathways	Glutaryl-CoA
C00530	ko01100	Metabolic pathways	Hydroquinone; p-Benzenediol; 1,4-Benzenediol; 1,4-Dihydroxybenzene; Benzene-1,4-diol; Quinol; 4-Hydr
C00531	ko01100	Metabolic pathways	Itaconyl-CoA
C00532	ko01100	Metabolic pathways	L-Arabitol; L-Arabinol; L-Arabinitol; L-Lyxitol
C00533	ko01100	Metabolic pathways	Nitric oxide; NO; Nitrogen monoxide
C00534	ko01100	Metabolic pathways	Pyridoxamine; PM
C00535	ko01100	Metabolic pathways	Testosterone; 17beta-Hydroxy-4-androsten-3-one
C00540	ko01100	Metabolic pathways	Cinnamoyl-CoA; S-(Cinnamoyl) coenzyme A
C00541	ko01100	Metabolic pathways	Cob(II)alamin; Vitamin B12r
C00543	ko01100	Metabolic pathways	Dimethylamine; (CH3)2NH
C00544	ko01100	Metabolic pathways	Homogentisate; Homogentisic acid; 2,5-Dihydroxyphenylacetic acid; 2,5-Dihydroxyphenylacetate
C00545	ko01100	Metabolic pathways	L-Arabinonate
C00546	ko01100	Metabolic pathways	Methylglyoxal; Pyruvaldehyde; Pyruvic aldehyde; 2-Ketopropionaldehyde; 2-Oxopropanal
C00547	ko01100	Metabolic pathways	L-Noradrenaline; Noradrenaline; Norepinephrine; Arterenol; 4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benze
C00550	ko01100	Metabolic pathways	Sphingomyelin
C00552	ko01100	Metabolic pathways	meso-Tartaric acid; meso-Tartrate
C00555	ko01100	Metabolic pathways	4-Aminobutyraldehyde; 4-Aminobutanal
C00556	ko01100	Metabolic pathways	Benzyl alcohol; alpha-Hydroxytoluene; Benzenemethanol; Phenylmethanol; Phenylcarbinol; Hydroxymethyl
C00558	ko01100	Metabolic pathways	D-Tagaturonate; D-Tagaturonic acid
C00559	ko01100	Metabolic pathways	Deoxyadenosine; 2'-Deoxyadenosine
C00561	ko01100	Metabolic pathways	Mandelonitrile; Benzaldehyde cyanohydrin; (R)-Mandelonitrile
C00565	ko01100	Metabolic pathways	Trimethylamine; (CH3)3N; N,N-Dimethylmethanamine
C00566	ko01100	Metabolic pathways	(3S)-Citryl-CoA
C00568	ko01100	Metabolic pathways	4-Aminobenzoate; ABEE; 4-Aminobenzoic acid; p-Aminobenzoate
C00569	ko01100	Metabolic pathways	Arabinogalactan; Arabinogalactoglycan
C00570	ko01100	Metabolic pathways	CDP-ethanolamine; Cytidine diphosphate ethanolamine
C00573	ko01100	Metabolic pathways	Keratan sulfate; Kerato sulfate; Keratan 6'-sulfate; Keratan; Kerato 6'-sulfate
C00575	ko01100	Metabolic pathways	3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cycli
C00576	ko01100	Metabolic pathways	Betaine aldehyde
C00577	ko01100	Metabolic pathways	D-Glyceraldehyde
C00580	ko01100	Metabolic pathways	Dimethyl sulfide; Methyl sulfide; Methyl thioether; DMS
C00581	ko01100	Metabolic pathways	Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid
C00582	ko01100	Metabolic pathways	Phenylacetyl-CoA; Phenylacetyl coenzyme A
C00583	ko01100	Metabolic pathways	Propane-1,2-diol; 1,2-Propanediol; Propylene glycol
C00584	ko01100	Metabolic pathways	Prostaglandin E2; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate; Dinoprostone; PGE2
C00588	ko01100	Metabolic pathways	Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine
C00590	ko01100	Metabolic pathways	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol; trans-Coniferyl alcohol
C00593	ko01100	Metabolic pathways	Sulfoacetaldehyde; 2-Sulfoacetaldehyde; 2-Oxoethanesulfonate
C00596	ko01100	Metabolic pathways	2-Hydroxy-2,4-pentadienoate; cis-2-Hydroxypenta-2,4-dienoate; Oxopent-4-enoate; 2-Oxopent-4-enoate;
C00601	ko01100	Metabolic pathways	Phenylacetaldehyde; alpha-Tolualdehyde
C00603	ko01100	Metabolic pathways	(S)-Ureidoglycolate; (-)-Ureidoglycolate
C00606	ko01100	Metabolic pathways	3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine
C00617	ko01100	Metabolic pathways	UDP-D-galacturonate; UDPgalacturonate; UDP-alpha-D-galacturonate
C00618	ko01100	Metabolic pathways	3-Dehydro-L-gulonate
C00620	ko01100	Metabolic pathways	alpha-D-Ribose 1-phosphate; Ribose 1-phosphate; D-Ribose 1-phosphate
C00621	ko01100	Metabolic pathways	Dolichyl diphosphate; Dolichol diphosphate
C00624	ko01100	Metabolic pathways	N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid
C00627	ko01100	Metabolic pathways	Pyridoxine phosphate; Pyridoxine 5'-phosphate; Pyridoxine 5-phosphate; Pyridoxol 5'-phosphate
C00628	ko01100	Metabolic pathways	2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentis
C00630	ko01100	Metabolic pathways	2-Methylpropanoyl-CoA; 2-Methylpropionyl-CoA; Isobutyryl-CoA
C00631	ko01100	Metabolic pathways	2-Phospho-D-glycerate; D-Glycerate 2-phosphate; 2-Phospho-(R)-glycerate
C00632	ko01100	Metabolic pathways	3-Hydroxyanthranilate; 3-Hydroxyanthranilic acid
C00633	ko01100	Metabolic pathways	4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde
C00634	ko01100	Metabolic pathways	Chondroitin 4-sulfate; Chondroitin sulfate A; Chondroitin 4'-sulfate
C00636	ko01100	Metabolic pathways	D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate
C00637	ko01100	Metabolic pathways	Indole-3-acetaldehyde; 2-(Indol-3-yl)acetaldehyde; Indoleacetaldehyde
C00638	ko01100	Metabolic pathways	Long-chain fatty acid; Higher fatty acid
C00639	ko01100	Metabolic pathways	Prostaglandin F2alpha; (5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-dienoate; (+)-Prostagl
C00641	ko01100	Metabolic pathways	1,2-Diacyl-sn-glycerol; 1,2-Diacylglycerol; L-1,2-Diacylglycerol
C00642	ko01100	Metabolic pathways	4-Hydroxyphenylacetate; 4-Hydroxyphenylacetic acid
C00643	ko01100	Metabolic pathways	5-Hydroxy-L-tryptophan; Oxitriptan
C00644	ko01100	Metabolic pathways	D-Mannitol 1-phosphate
C00645	ko01100	Metabolic pathways	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose
C00647	ko01100	Metabolic pathways	Pyridoxamine phosphate; Pyridoxamine 5'-phosphate; Pyridoxamine 5-phosphate
C00652	ko01100	Metabolic pathways	D-Arabinono-1,4-lactone
C00655	ko01100	Metabolic pathways	Xanthosine 5'-phosphate; Xanthylic acid; XMP; (9-D-Ribosylxanthine)-5'-phosphate
C00664	ko01100	Metabolic pathways	5-Formiminotetrahydrofolate; 5-Formimidoyltetrahydrofolate
C00665	ko01100	Metabolic pathways	beta-D-Fructose 2,6-bisphosphate; D-Fructose 2,6-bisphosphate
C00666	ko01100	Metabolic pathways	LL-2,6-Diaminoheptanedioate; LL-2,6-Diaminopimelate; LL-2,6-Diaminopimelic acid; (2S,6S)-2,6-Diamino
C00668	ko01100	Metabolic pathways	alpha-D-Glucose 6-phosphate
C00669	ko01100	Metabolic pathways	gamma-L-Glutamyl-L-cysteine; L-gamma-Glutamylcysteine; 5-L-Glutamyl-L-cysteine; gamma-Glutamylcystei
C00671	ko01100	Metabolic pathways	(S)-3-Methyl-2-oxopentanoic acid; (S)-3-Methyl-2-oxopentanoate; (3S)-3-Methyl-2-oxopentanoic acid; (
C00672	ko01100	Metabolic pathways	2-Deoxy-D-ribose 1-phosphate; 2-Deoxy-alpha-D-ribose 1-phosphate
C00673	ko01100	Metabolic pathways	2-Deoxy-D-ribose 5-phosphate
C00674	ko01100	Metabolic pathways	5alpha-Androstane-3,17-dione; Androstanedione
C00679	ko01100	Metabolic pathways	5-Dehydro-4-deoxy-D-glucarate; (2R,3S)-2,3-Dihydroxy-5-oxohexanedioate
C00680	ko01100	Metabolic pathways	meso-2,6-Diaminoheptanedioate; meso-2,6-Diaminopimelate; meso-2,6-Diaminopimelic acid; meso-Diaminoh
C00681	ko01100	Metabolic pathways	1-Acyl-sn-glycerol 3-phosphate; 2-Lysophosphatidate; Lysophosphatidate; Lysophosphatidic acid
C00682	ko01100	Metabolic pathways	2-Hydroxymuconate semialdehyde; 2-Hydroxymuconic semialdehyde; 2-Hydroxymuconate-6-semialdehyde
C00683	ko01100	Metabolic pathways	(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA
C00684	ko01100	Metabolic pathways	2-Dehydro-3-deoxy-L-arabinonate; 2-Dehydro-3-deoxy-L-pentonate; 2-Dehydro-3-deoxy-L-arabinonic acid
C00685	ko01100	Metabolic pathways	3-Oxoacyl-[acyl-carrier protein]
C00688	ko01100	Metabolic pathways	dTDP-4-dehydro-beta-L-rhamnose; dTDP-4-dehydro-6-deoxy-beta-L-mannose; dTDP-4-oxo-6-deoxy-L-mannose;
C00689	ko01100	Metabolic pathways	alpha,alpha'-Trehalose 6-phosphate; Trehalose 6-phosphate
C00691	ko01100	Metabolic pathways	2,4,6/3,5-Pentahydroxycyclohexanone; scyllo-Inosose; 2-Inosose
C00692	ko01100	Metabolic pathways	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate; UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate
C00693	ko01100	Metabolic pathways	trans-2,3-Dehydroacyl-[acyl-carrier protein]; trans-2-Enoyl-[acyl-carrier protein]; (2E)-Unsaturated
C00695	ko01100	Metabolic pathways	Cholic acid; Cholate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate; 3alpha,7alpha,12alpha-Trihyd
C00696	ko01100	Metabolic pathways	Prostaglandin D2; (5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; (5Z,13E,15S)-9alpha
C00697	ko01100	Metabolic pathways	Nitrogen; N2
C00700	ko01100	Metabolic pathways	XTP; Xanthosine 5'-triphosphate
C00705	ko01100	Metabolic pathways	dCDP; 2'-Deoxycytidine diphosphate; 2'-Deoxycytidine 5'-diphosphate
C00714	ko01100	Metabolic pathways	Pectin; Poly(1,4-alpha-D-galacturonide)
C00718	ko01100	Metabolic pathways	Amylose; Amylose chain; (1,4-alpha-D-Glucosyl)n; (1,4-alpha-D-Glucosyl)n+1; (1,4-alpha-D-Glucosyl)n-
C00719	ko01100	Metabolic pathways	Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate
C00721	ko01100	Metabolic pathways	Dextrin
C00726	ko01100	Metabolic pathways	Nitrile; R-CN
C00729	ko01100	Metabolic pathways	Tropine; 3alpha-Tropanol
C00734	ko01100	Metabolic pathways	Chitosan; beta-1,4-Poly-D-glucosamine
C00735	ko01100	Metabolic pathways	Cortisol; Hydrocortisone; 11beta,17alpha,21-Trihydroxy-4-pregnene-3,20-dione; Kendall's compound F;
C00739	ko01100	Metabolic pathways	D-Lysine; D-2,6-Diaminohexanoic acid
C00740	ko01100	Metabolic pathways	D-Serine
C00744	ko01100	Metabolic pathways	Macrocin; Tylosin C
C00745	ko01100	Metabolic pathways	Nicotine; (S)-3-(1-Methylpyrrolidin-2-yl)pyridine; (S)-Nicotine; 3-[(S)-1-Methylpyrrolidin-2-yl]pyri
C00748	ko01100	Metabolic pathways	Siroheme
C00750	ko01100	Metabolic pathways	Spermine; N,N'-Bis(3-aminopropyl)-1,4-butanediamine
C00751	ko01100	Metabolic pathways	Squalene; Spinacene; Supraene
C00755	ko01100	Metabolic pathways	4-Hydroxy-3-methoxy-benzaldehyde; Vanillin; Vanillaldehyde; 4-Hydroxy-3-methoxybenzaldehyde
C00760	ko01100	Metabolic pathways	Cellulose; (1,4-beta-D-Glucosyl)n; (1,4-beta-D-Glucosyl)n+1; (1,4-beta-D-Glucosyl)n-1; 1,4-beta-D-Gl
C00762	ko01100	Metabolic pathways	Cortisone; 17alpha,21-Dihydroxy-4-pregnene-3,11,20-trione; Kendall's compound E; Reichstein's substa
C00763	ko01100	Metabolic pathways	D-Proline
C00774	ko01100	Metabolic pathways	Phloretin; 3-(4-Hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one
C00777	ko01100	Metabolic pathways	Retinoate; Retinoic acid; Vitamin A acid; all-trans-Retinoate; Acide retinoique (French) (DSL); Tret
C00780	ko01100	Metabolic pathways	Serotonin; 3-(2-Aminoethyl)-1H-indol-5-ol; 5-Hydroxytryptamine; Enteramine
C00783	ko01100	Metabolic pathways	Tropinone; 3-Tropanone
C00785	ko01100	Metabolic pathways	Urocanate; Urocanic acid
C00786	ko01100	Metabolic pathways	(-)-Vestitone; Vestitone
C00788	ko01100	Metabolic pathways	L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(
C00789	ko01100	Metabolic pathways	CDP-ribitol; CDP-L-ribitol; CDP 5-ester with D-ribitol
C00791	ko01100	Metabolic pathways	Creatinine; 1-Methylglycocyamidine
C00792	ko01100	Metabolic pathways	D-Arginine; D-2-Amino-5-guanidinovaleric acid
C00793	ko01100	Metabolic pathways	D-Cysteine; D-Amino-3-mercaptopropionic acid
C00794	ko01100	Metabolic pathways	D-Sorbitol; D-Glucitol; L-Gulitol; Sorbitol
C00795	ko01100	Metabolic pathways	D-Tagatose; lyxo-Hexulose
C00798	ko01100	Metabolic pathways	Formyl-CoA
C00800	ko01100	Metabolic pathways	L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid
C00802	ko01100	Metabolic pathways	Oxalureate; Oxaluric acid; Monooxalylurea; Oxalurate; N-Carbamoyl-2-oxoglycine
C00804	ko01100	Metabolic pathways	Propynoate; Propiolic acid; Acetylenecarboxylic acid; Acetylenemonocarboxylate
C00805	ko01100	Metabolic pathways	Salicylate; o-Hydroxybenzoic acid; Salicylic acid
C00811	ko01100	Metabolic pathways	4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic
C00813	ko01100	Metabolic pathways	Barbiturate; Barbituric acid; Malonylurea
C00814	ko01100	Metabolic pathways	Biochanin A
